                  #Energy              Total trace      Spin Up (spin axis)      Spin Dn (spin axis)         <Sx> (spin axis)         <Sy> (spin axis)         <Sz> (spin axis)
      -13.605693008999998        0.007232082340330        0.004861859043143        0.002370223297187        0.000000000000000        0.000000000000000       -0.001245817872978
      -13.578481622981998        0.007290258815390        0.004904474658651        0.002385784156739        0.000000000000000        0.000000000000000       -0.001259345250956
      -13.551270236963997        0.007349207288071        0.004947691470525        0.002401515817546        0.000000000000000        0.000000000000000       -0.001273087826490
      -13.524058850945998        0.007408941711202        0.004991520843280        0.002417420867922        0.000000000000000        0.000000000000000       -0.001287049987679
      -13.496847464927997        0.007469476378421        0.005035974426313        0.002433501952108        0.000000000000000        0.000000000000000       -0.001301236237103
      -13.469636078909998        0.007530825935309        0.005081064164757        0.002449761770552        0.000000000000000        0.000000000000000       -0.001315651197102
      -13.442424692891997        0.007593005388657        0.005126802306332        0.002466203082325        0.000000000000000        0.000000000000000       -0.001330299612003
      -13.415213306873998        0.007656030117349        0.005173201411372        0.002482828705977        0.000000000000000        0.000000000000000       -0.001345186352697
      -13.388001920855997        0.007719915884247        0.005220274362773        0.002499641521474        0.000000000000000        0.000000000000000       -0.001360316420650
      -13.360790534837998        0.007784678847164        0.005268034375638        0.002516644471526        0.000000000000000        0.000000000000000       -0.001375694952056
      -13.333579148819997        0.007850335570577        0.005316495006897        0.002533840563680        0.000000000000000        0.000000000000000       -0.001391327221608
      -13.306367762801997        0.007916903039541        0.005365670167360        0.002551232872181        0.000000000000000        0.000000000000000       -0.001407218647589
      -13.279156376783998        0.007984398670554        0.005415574131689        0.002568824538866        0.000000000000000        0.000000000000000       -0.001423374796412
      -13.251944990765997        0.008052840326793        0.005466221550729        0.002586618776063        0.000000000000000        0.000000000000000       -0.001439801387333
      -13.224733604747998        0.008122246330879        0.005517627462584        0.002604618868296        0.000000000000000        0.000000000000000       -0.001456504297144
      -13.197522218729997        0.008192635479924        0.005569807306237        0.002622828173687        0.000000000000000        0.000000000000000       -0.001473489566275
      -13.170310832711998        0.008264027060118        0.005622776933171        0.002641250126947        0.000000000000000        0.000000000000000       -0.001490763403112
      -13.143099446693997        0.008336440862951        0.005676552622098        0.002659888240854        0.000000000000000        0.000000000000000       -0.001508332190622
      -13.115888060675998        0.008409897201275        0.005731151092199        0.002678746109076        0.000000000000000        0.000000000000000       -0.001526202491561
      -13.088676674657997        0.008484416925187        0.005786589517081        0.002697827408106        0.000000000000000        0.000000000000000       -0.001544381054487
      -13.061465288639997        0.008560021440989        0.005842885541679        0.002717135899310        0.000000000000000        0.000000000000000       -0.001562874821185
      -13.034253902621998        0.008636732728651        0.005900057295960        0.002736675432690        0.000000000000000        0.000000000000000       -0.001581690931635
      -13.007042516603999        0.008714573361038        0.005958123412818        0.002756449948220        0.000000000000000        0.000000000000000       -0.001600836732299
      -12.979831130585998        0.008793566522731        0.006017103043698        0.002776463479033        0.000000000000000        0.000000000000000       -0.001620319782332
      -12.952619744567999        0.008873736032138        0.006077015877621        0.002796720154516        0.000000000000000        0.000000000000000       -0.001640147861553
      -12.925408358549999        0.008955106361342        0.006137882158667        0.002817224202675        0.000000000000000        0.000000000000000       -0.001660328977996
      -12.898196972531998        0.009037702659119        0.006199722705738        0.002837979953381        0.000000000000000        0.000000000000000       -0.001680871376178
      -12.870985586513999        0.009121550774016        0.006262558932292        0.002858991841724        0.000000000000000        0.000000000000000       -0.001701783545284
      -12.843774200495998        0.009206677277752        0.006326412866714        0.002880264411038        0.000000000000000        0.000000000000000       -0.001723074227838
      -12.816562814477999        0.009293109491779        0.006391307175391        0.002901802316388        0.000000000000000        0.000000000000000       -0.001744752429502
      -12.789351428459998        0.009380875511786        0.006457265183868        0.002923610327918        0.000000000000000        0.000000000000000       -0.001766827427975
      -12.762140042441999        0.009470004236753        0.006524310901190        0.002945693335563        0.000000000000000        0.000000000000000       -0.001789308782813
      -12.734928656423998        0.009560525394449        0.006592469044056        0.002968056350394        0.000000000000000        0.000000000000000       -0.001812206346831
      -12.707717270405999        0.009652469575206        0.006661765063396        0.002990704511810        0.000000000000000        0.000000000000000       -0.001835530275793
